dataset,model,c,ql_trunc,precision0,recall0,f1
parts,PatchTCN,0.1,0.328068,0.804598,0.162696,0.270662
parts,PatchTCN,0.25,0.319526,0.777778,0.382336,0.512661
parts,PatchTCN,0.5,0.297744,0.74309,0.687391,0.714156
parts,PatchTCN,0.75,0.285745,0.715764,0.844277,0.774727
parts,PatchTCN,1.0,0.282168,0.699645,0.916328,0.793459
parts,PatchTCN,1.5,0.184081,0.882923,0.981157,0.929452
parts,PatchTCN,2.0,0.183775,0.874261,0.995065,0.93076
parts,PatchTSMixer,0.1,0.351997,0.8,0.0766996,0.139979
parts,PatchTSMixer,0.25,0.344448,0.795276,0.234747,0.362494
parts,PatchTSMixer,0.5,0.31965,0.763591,0.53864,0.631687
parts,PatchTSMixer,0.75,0.295146,0.740046,0.755956,0.747916
parts,PatchTSMixer,1.0,0.286138,0.714014,0.873329,0.785677
parts,PatchTSMixer,1.5,0.190338,0.885199,0.968596,0.925021
parts,PatchTSMixer,2.0,0.184273,0.875693,0.992373,0.930389
parts,PatchTST,0.1,0.345642,0.833333,0.101685,0.181253
parts,PatchTST,0.25,0.338002,0.775701,0.289367,0.421498
parts,PatchTST,0.5,0.313301,0.755523,0.596165,0.66645
parts,PatchTST,0.75,0.295387,0.726884,0.790238,0.757238
parts,PatchTST,1.0,0.285463,0.711754,0.886694,0.789651
parts,PatchTST,1.5,0.187539,0.887931,0.97039,0.927331
parts,PatchTST,2.0,0.183295,0.877729,0.991925,0.93134
parts,SBA,0.1,0.425865,0,0,0
parts,SBA,0.25,0.427166,0.242424,0.00929692,0.0179071
parts,SBA,0.5,0.416599,0.566327,0.193492,0.288437
parts,SBA,0.75,0.370317,0.6564,0.557234,0.602766
parts,SBA,1.0,0.323562,0.67421,0.830912,0.744404
parts,SBA,1.5,0.193627,0.866902,0.990579,0.924623
parts,SBA,2.0,0.18767,0.866978,1,0.92875
parts,TCN,0.1,0.468105,0.266667,0.00232423,0.00460829
parts,TCN,0.25,0.468505,0.25641,0.00581058,0.0113636
parts,TCN,0.5,0.467611,0.473684,0.0889018,0.149706
parts,TCN,0.75,0.42591,0.650659,0.401511,0.496586
parts,TCN,1.0,0.383914,0.670652,0.651947,0.661167
parts,TCN,1.5,0.231172,0.867814,0.92777,0.896791
parts,TCN,2.0,0.189292,0.867343,0.997308,0.927796
parts,TSB,0.1,0.377923,0,0,0
parts,TSB,0.25,0.374302,0.869919,0.0621732,0.116052
parts,TSB,0.5,0.345597,0.791511,0.36839,0.502776
parts,TSB,0.75,0.310036,0.74597,0.672284,0.707213
parts,TSB,1.0,0.29461,0.71098,0.839047,0.769723
parts,TSB,1.5,0.18514,0.88124,0.982055,0.92892
parts,TSB,2.0,0.183097,0.874065,0.996411,0.931237
parts,TTM,0.1,0.373074,0.808581,0.142359,0.242095
parts,TTM,0.25,0.367233,0.771903,0.29692,0.428871
parts,TTM,0.5,0.350647,0.739693,0.531668,0.618661
parts,TTM,0.75,0.329855,0.731604,0.704823,0.717964
parts,TTM,1.0,0.316792,0.715084,0.818129,0.763144
parts,TTM,1.5,0.21858,0.894531,0.92463,0.909332
parts,TTM,2.0,0.199627,0.880682,0.973531,0.924782
parts,TimesFM,0.1,0.299989,0.761942,0.565369,0.649099
parts,TimesFM,0.25,0.296536,0.749035,0.676351,0.71084
parts,TimesFM,0.5,0.291703,0.726634,0.781522,0.75308
parts,TimesFM,0.75,0.2839,0.714083,0.875073,0.786423
parts,TimesFM,1.0,0.283712,0.697685,0.927949,0.796509
parts,TimesFM,1.5,0.188171,0.880387,0.980709,0.927844
parts,TimesFM,2.0,0.185864,0.874704,0.992822,0.930027
parts,TweedieGP,0.1,0.316357,0.706559,0.713539,0.710032
parts,TweedieGP,0.25,0.316357,0.706559,0.713539,0.710032
parts,TweedieGP,0.5,0.316189,0.70595,0.717025,0.711444
parts,TweedieGP,0.75,0.314498,0.705717,0.731551,0.718402
parts,TweedieGP,1.0,0.287468,0.691106,0.925625,0.791356
parts,TweedieGP,1.5,0.190666,0.874851,0.984747,0.926551
parts,TweedieGP,2.0,0.189593,0.869992,0.993719,0.927749
parts,WaveNet-like,0.1,0.455341,0,0,0
parts,WaveNet-like,0.25,0.455875,0.258065,0.00464846,0.00913242
parts,WaveNet-like,0.5,0.451553,0.534177,0.122603,0.199433
parts,WaveNet-like,0.75,0.409913,0.657736,0.442185,0.528839
parts,WaveNet-like,1.0,0.370543,0.669291,0.691458,0.680194
parts,WaveNet-like,1.5,0.221403,0.86971,0.940332,0.903643
parts,WaveNet-like,2.0,0.188431,0.867446,0.998205,0.928244
fresh_retail,Autoformer,0.1,0.327933,0.578236,0.191682,0.28792
fresh_retail,Autoformer,0.25,0.327719,0.552804,0.319906,0.405279
fresh_retail,Autoformer,0.5,0.330856,0.506314,0.564236,0.533708
fresh_retail,Autoformer,0.75,0.345637,0.460951,0.764678,0.57518
fresh_retail,Autoformer,1.0,0.372948,0.422734,0.8818,0.571494
fresh_retail,Autoformer,1.5,0.222895,0.890339,0.940981,0.91496
fresh_retail,Autoformer,2.0,0.233076,0.854299,0.977607,0.911803
fresh_retail,Chronos,0.1,0.274678,0.558859,0.606046,0.581497
fresh_retail,Chronos,0.25,0.274679,0.558763,0.606806,0.581795
fresh_retail,Chronos,0.5,0.275641,0.550096,0.635278,0.589627
fresh_retail,Chronos,0.75,0.276881,0.540599,0.668196,0.597663
fresh_retail,Chronos,1.0,0.335317,0.429789,0.801768,0.559602
fresh_retail,Chronos,1.5,0.191008,0.896514,0.958327,0.92639
fresh_retail,Chronos,2.0,0.213185,0.860652,0.977443,0.915337
fresh_retail,Croston,0.1,0.300812,0.256352,0.00401308,0.00790246
fresh_retail,Croston,0.25,0.300169,0.510853,0.138133,0.217465
fresh_retail,Croston,0.5,0.29599,0.539127,0.638089,0.584449
fresh_retail,Croston,0.75,0.31445,0.476394,0.849651,0.61049
fresh_retail,Croston,1.0,0.349888,0.42362,0.930257,0.582144
fresh_retail,Croston,1.5,0.191063,0.898727,0.959728,0.928226
fresh_retail,Croston,2.0,0.212616,0.856676,0.985358,0.916523
fresh_retail,DLinear,0.1,0.36766,0.47294,0.139813,0.215823
fresh_retail,DLinear,0.25,0.367861,0.47985,0.275117,0.349724
fresh_retail,DLinear,0.5,0.371556,0.46684,0.553655,0.506555
fresh_retail,DLinear,0.75,0.386771,0.435988,0.771175,0.557047
fresh_retail,DLinear,1.0,0.415072,0.403082,0.886874,0.554256
fresh_retail,DLinear,1.5,0.258881,0.867223,0.94708,0.905394
fresh_retail,DLinear,2.0,0.268831,0.836937,0.97864,0.902258
fresh_retail,DeepAR,0.1,0.296143,0.663985,0.368382,0.473862
fresh_retail,DeepAR,0.25,0.296096,0.649094,0.399204,0.494365
fresh_retail,DeepAR,0.5,0.299398,0.562443,0.62003,0.589834
fresh_retail,DeepAR,0.75,0.324345,0.471256,0.845116,0.605097
fresh_retail,DeepAR,1.0,0.367271,0.41061,0.940785,0.571699
fresh_retail,DeepAR,1.5,0.202522,0.879725,0.97464,0.924753
fresh_retail,DeepAR,2.0,0.225706,0.842988,0.992256,0.911551
fresh_retail,DeepAR-negbin,0.1,0.30113,0.499249,0.778379,0.608322
fresh_retail,DeepAR-negbin,0.25,0.30113,0.499249,0.778379,0.608322
fresh_retail,DeepAR-negbin,0.5,0.30113,0.499249,0.778379,0.608322
fresh_retail,DeepAR-negbin,0.75,0.30113,0.499249,0.778379,0.608322
fresh_retail,DeepAR-negbin,1.0,0.30113,0.499249,0.778379,0.608322
fresh_retail,DeepAR-negbin,1.5,0.202209,0.876935,0.975819,0.923738
fresh_retail,DeepAR-negbin,2.0,0.202209,0.876935,0.975819,0.923738
