dataset,model,c,ql_trunc,precision0,recall0,f1
m5,PatchTSMixer,0.25,0.492905,0.85429,0.421448,0.56444
m5,PatchTSMixer,0.5,0.478983,0.791141,0.667685,0.724189
m5,PatchTSMixer,0.75,0.474116,0.744412,0.793569,0.768205
m5,PatchTSMixer,1.0,0.476466,0.710618,0.86387,0.779786
m5,PatchTSMixer,1.5,0.423136,0.868261,0.907587,0.887489
m5,PatchTSMixer,2.0,0.421058,0.845024,0.947187,0.893194
m5,PatchTST,0.1,0.504722,0.895791,0.187914,0.310659
m5,PatchTST,0.25,0.495856,0.854145,0.424907,0.567502
m5,PatchTST,0.5,0.482325,0.793173,0.662424,0.721926
m5,PatchTST,0.75,0.477059,0.747188,0.788428,0.767254
m5,PatchTST,1.0,0.479099,0.71291,0.86033,0.779713
m5,PatchTST,1.5,0.426833,0.869359,0.903988,0.886335
m5,PatchTST,2.0,0.423783,0.846242,0.944964,0.892882
m5,SBA,0.1,0.540518,0.887442,0.134725,0.233936
m5,SBA,0.25,0.531535,0.83971,0.381164,0.524325
m5,SBA,0.5,0.517673,0.779671,0.625399,0.694065
m5,SBA,0.75,0.511321,0.736779,0.757291,0.746894
m5,SBA,1.0,0.512149,0.703769,0.835535,0.764012
m5,SBA,1.5,0.456356,0.865415,0.892176,0.878592
m5,SBA,2.0,0.451537,0.842615,0.936152,0.886924
m5,TCN,0.1,0.518772,0.855213,0.174094,0.289296
m5,TCN,0.25,0.509919,0.835837,0.413139,0.55296
m5,TCN,0.5,0.495795,0.783797,0.655472,0.713914
m5,TCN,0.75,0.490045,0.740124,0.784894,0.761851
m5,TCN,1.0,0.492025,0.705504,0.861441,0.775713
m5,TCN,1.5,0.438034,0.863017,0.907979,0.884927
m5,TCN,2.0,0.436683,0.839874,0.946861,0.890164
m5,TSB,0.1,0.518352,0.885282,0.226695,0.360959
m5,TSB,0.25,0.511166,0.851351,0.420385,0.562845
m5,TSB,0.5,0.497745,0.797347,0.64427,0.712681
m5,TSB,0.75,0.491454,0.753654,0.76976,0.761622
m5,TSB,1.0,0.492181,0.719223,0.84617,0.777549
m5,TSB,1.5,0.441798,0.873639,0.891837,0.882644
m5,TSB,2.0,0.436385,0.849344,0.938012,0.891478
m5,TTM,0.1,0.505529,0.897551,0.175197,0.293169
m5,TTM,0.25,0.496231,0.853695,0.424943,0.567434
m5,TTM,0.5,0.482683,0.79102,0.666141,0.723229
m5,TTM,0.75,0.477804,0.743907,0.792955,0.767648
m5,TTM,1.0,0.480128,0.710404,0.862834,0.779234
m5,TTM,1.5,0.42714,0.86771,0.906444,0.886654
m5,TTM,2.0,0.424616,0.844856,0.946291,0.892701
m5,Timer,0.1,0.785314,0.603631,0.000830454,0.00165863
m5,Timer,0.25,0.784168,0.758115,0.03004,0.05779
m5,Timer,0.5,0.771924,0.716861,0.223663,0.340948
m5,Timer,0.75,0.760861,0.667415,0.397692,0.498402
m5,Timer,1.0,0.75107,0.630028,0.581241,0.604652
m5,Timer,1.5,0.68865,0.788216,0.781689,0.784939
m5,Timer,2.0,0.651301,0.772077,0.892092,0.827757
m5,TimesFM,0.1,0.47717,0.779669,0.702208,0.738914
m5,TimesFM,0.25,0.476639,0.762189,0.749315,0.755697
m5,TimesFM,0.5,0.47616,0.743497,0.794743,0.768266
m5,TimesFM,0.75,0.476625,0.722927,0.840309,0.777211
m5,TimesFM,1.0,0.482225,0.690473,0.899232,0.781146
m5,TimesFM,1.5,0.424953,0.85341,0.932506,0.891206
m5,TimesFM,2.0,0.427749,0.833752,0.959655,0.892284
m5,TweedieGP,0.1,0.500372,0.698755,0.863616,0.772487
m5,TweedieGP,0.25,0.500392,0.698325,0.864303,0.772499
m5,TweedieGP,0.5,0.500627,0.695609,0.869205,0.772778
m5,TweedieGP,0.75,0.501881,0.687583,0.883191,0.773208
m5,TweedieGP,1.0,0.506509,0.669355,0.916634,0.773717
m5,TweedieGP,1.5,0.444025,0.842315,0.939944,0.888456
m5,TweedieGP,2.0,0.447596,0.824034,0.964768,0.888864
m5,WaveNet-like,0.1,0.520147,0.881149,0.157147,0.266726
m5,WaveNet-like,0.25,0.511018,0.844616,0.401459,0.544235
m5,WaveNet-like,0.5,0.496588,0.787656,0.648166,0.711136
m5,WaveNet-like,0.75,0.490316,0.743487,0.780417,0.761504
m5,WaveNet-like,1.0,0.492248,0.708217,0.856975,0.775527
m5,WaveNet-like,1.5,0.438686,0.863907,0.906829,0.884848
m5,WaveNet-like,2.0,0.43746,0.839932,0.946705,0.890128
